date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:45:55	219/219	---MCZ	200	added ('OK')	text/plain	etag:W/%226409ae42-154%22	https://www.classcentral.com/robots.txt		(from )
16:45:56	665695/665695	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Mar%202023%2014:46:37%20GMT	https://www.classcentral.com/	C:/Users/DeaDFuN/Desktop/asd10/asd10/www.classcentral.com/index.html	(from )
16:45:57	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2009%20Mar%202023%2014:46:38%20GMT	http://schema.org/WebSite	C:/Users/DeaDFuN/Desktop/asd10/asd10/schema.org/WebSite.0.delayed	(from https://www.classcentral.com/)
16:45:58	179772/179772	---M-Z	200	added ('OK')	text/html	etag:%22HE3AwQ%22	https://schema.org/WebSite	C:/Users/DeaDFuN/Desktop/asd10/asd10/schema.org/WebSite.html	(from https://www.classcentral.com/)
16:45:59	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2009%20Mar%202023%2014:46:40%20GMT	http://twitter.com/classcentral	C:/Users/DeaDFuN/Desktop/asd10/asd10/twitter.com/classcentral.3.delayed	(from https://www.classcentral.com/)
16:45:59	9463/9463	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Mar%202023%2007:12:49%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	C:/Users/DeaDFuN/Desktop/asd10/asd10/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
16:46:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2009%20Mar%202023%2014:46:41%20GMT	http://www.linkedin.com/company/class-central	C:/Users/DeaDFuN/Desktop/asd10/asd10/www.linkedin.com/company/class-central.5.delayed	(from https://www.classcentral.com/)
16:46:00	166146/166146	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Mar%202023%2014:46:41%20GMT	https://twitter.com/classcentral	C:/Users/DeaDFuN/Desktop/asd10/asd10/twitter.com/classcentral.html	(from https://www.classcentral.com/)
16:46:01	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2009%20Mar%202023%2014:46:42%20GMT	https://www.linkedin.com/company/class-central	C:/Users/DeaDFuN/Desktop/asd10/asd10/www.linkedin.com/company/class-central.6.delayed	(from https://www.classcentral.com/)
16:46:02	1530/1530	---M--	999	error ('Request%20denied')	text/html	date:Thu,%2009%20Mar%202023%2014:46:43%20GMT	https://www.linkedin.com/company/classcentral	C:/Users/DeaDFuN/Desktop/asd10/asd10/www.linkedin.com/company/classcentral.7.delayed	(from https://www.classcentral.com/)
16:46:03	138657/138657	---MCZ	200	added ('OK')	text/html	etag:W/%22d0f69804effbc97a199c5b50e142d0bb%22	https://github.com/classcentral	C:/Users/DeaDFuN/Desktop/asd10/asd10/github.com/classcentral.html	(from https://www.classcentral.com/)
16:46:03	2206/2206	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Mar%202023%2007:12:49%20GMT	https://www.classcentral.com/apple-touch-icon.png	C:/Users/DeaDFuN/Desktop/asd10/asd10/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
16:46:04	975/975	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Mar%202023%2007:12:49%20GMT	https://www.classcentral.com/favicon-32x32.png	C:/Users/DeaDFuN/Desktop/asd10/asd10/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
16:46:04	731/731	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Mar%202023%2007:08:12%20GMT	https://www.classcentral.com/favicon-16x16.png	C:/Users/DeaDFuN/Desktop/asd10/asd10/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
16:46:04	673/673	---M--	200	added ('OK')	application/octet-stream	etag:%226409b0f6-2a1%22	https://www.classcentral.com/site.webmanifest	C:/Users/DeaDFuN/Desktop/asd10/asd10/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
16:46:04	1960/1960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226409ae42-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	C:/Users/DeaDFuN/Desktop/asd10/asd10/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
16:46:05	913/913	---MCZ	200	added ('OK')	text/xml	etag:W/%226409b0f6-391%22	https://www.classcentral.com/opensearch.xml	C:/Users/DeaDFuN/Desktop/asd10/asd10/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
16:46:05	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:12:49%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	C:/Users/DeaDFuN/Desktop/asd10/asd10/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
16:46:05	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:08:12%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	C:/Users/DeaDFuN/Desktop/asd10/asd10/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
16:46:05	1488/1488	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:08:12%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	C:/Users/DeaDFuN/Desktop/asd10/asd10/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
16:46:05	5588/5588	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:08:12%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	C:/Users/DeaDFuN/Desktop/asd10/asd10/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
16:46:06	12520/12520	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:12:49%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	C:/Users/DeaDFuN/Desktop/asd10/asd10/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
16:46:06	15280/15280	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:12:49%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	C:/Users/DeaDFuN/Desktop/asd10/asd10/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	(from https://www.classcentral.com/)
16:46:06	6868/6868	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:12:49%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	C:/Users/DeaDFuN/Desktop/asd10/asd10/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	(from https://www.classcentral.com/)
16:46:07	9684/9684	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:08:12%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	C:/Users/DeaDFuN/Desktop/asd10/asd10/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	(from https://www.classcentral.com/)
16:46:07	7376/7376	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:08:12%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	C:/Users/DeaDFuN/Desktop/asd10/asd10/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	(from https://www.classcentral.com/)
16:46:07	8444/8444	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:08:12%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	C:/Users/DeaDFuN/Desktop/asd10/asd10/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
16:46:07	5804/5804	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:08:12%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	C:/Users/DeaDFuN/Desktop/asd10/asd10/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
16:46:08	14960/14960	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2007%20Mar%202023%2007:12:49%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	C:/Users/DeaDFuN/Desktop/asd10/asd10/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
